accounting_id,accounting_name,details,amount
111111,เงินสด,สินทรัพย์หมุนเวียน,-1228417690.979998
111203,เงินฝากกระแสรายวัน ธ.ไทยพาณิชย์ - ส่งออก 7923,สินทรัพย์หมุนเวียน,-7723099.690000027
111222,เงินฝากออมทรัพย์ ธ.ไทยพาณิชย์ 792-203206-9,สินทรัพย์หมุนเวียน,26121902.470000003
111224,เงินฝากออมทรัพย์ ธ.ไทยพาณิชย์ - Forword 79210,สินทรัพย์หมุนเวียน,0
111321,เงินฝากออมทรัพย์ ธ.กสิกร 1672502086,สินทรัพย์หมุนเวียน,24306759.47999999
111322,เงินฝากออมทรัพย์ ธ.กสิกร 1672341139,สินทรัพย์หมุนเวียน,360927.3800000008
111421,เงินฝากกระแสรายวัน ธ.กรุงเทพ - ส่งออก 2733020,สินทรัพย์หมุนเวียน,67626340.86999977
111422,เงินฝากออมทรัพย์ ธ.กรุงเทพฯ 2734552637,สินทรัพย์หมุนเวียน,4302814.990000001
111423,เงินฝากออมทรัพย์ ธ.กรุงเทพ 2734533496,สินทรัพย์หมุนเวียน,147000
111501,เงินฝากกระแสรายวัน ธ.กรุงไทย - คุณประโยชน์,สินทรัพย์หมุนเวียน,31516421.04
111502,เงินฝากกระแสรายวัน ธ.กรุงไทย 4226011465,สินทรัพย์หมุนเวียน,21385611.50000009
111521,เงินฝากออมทรัพย์ ธ.กรุงไทย 4220374396,สินทรัพย์หมุนเวียน,678096
111601,เงินฝากกระแสรายวัน ธ.ทหารไทย 3371050455,สินทรัพย์หมุนเวียน,4342847
111721,เงินฝากออมทรัพย์ ธ.ธกส 8062599655,สินทรัพย์หมุนเวียน,301490
111801,เงินฝากออมทรัพย์ PB ธนาคารกสิกรไทย 0501630713,สินทรัพย์หมุนเวียน,800165
112111,ลูกหนี้การค้า,สินทรัพย์หมุนเวียน,111641199.6850028
112112,เช็ครับล่วงหน้า,สินทรัพย์หมุนเวียน,3077829062.899998
112113,ภาษีหัก ณ ที่จ่ายรอเรียกคืน,สินทรัพย์หมุนเวียน,9760.730000000005
115111,ภาษีซื้อ,สินทรัพย์หมุนเวียน,0
115121,ภาษีถูกหัก ณ ที่จ่าย,สินทรัพย์หมุนเวียน,7451375.05
115151,อะไหล่รอการเบิกจ่าย,สินทรัพย์หมุนเวียน,20938490.219999995
